Rndrng_Prvdr_Gndr,Tot_HCPCS_Cds,Bene_Male_Cnt,Bene_Avg_Age,Tot_Srvcs,Tot_Benes,Bene_Avg_Risk_Scre,Tot_Sbmtd_Chrg,Tot_Mdcr_Pymt_Amt,Rndrng_Prvdr_Type_Addiction Medicine,Rndrng_Prvdr_Type_Advanced Heart Failure and Transplant Cardiology,Rndrng_Prvdr_Type_Allergy/ Immunology,Rndrng_Prvdr_Type_Anesthesiology,Rndrng_Prvdr_Type_Anesthesiology Assistant,Rndrng_Prvdr_Type_Audiologist,Rndrng_Prvdr_Type_Cardiac Surgery,Rndrng_Prvdr_Type_Cardiology,Rndrng_Prvdr_Type_Cardiovascular Disease (Cardiology),Rndrng_Prvdr_Type_Certified Clinical Nurse Specialist,Rndrng_Prvdr_Type_Certified Nurse Midwife,Rndrng_Prvdr_Type_Certified Registered Nurse Anesthetist (CRNA),Rndrng_Prvdr_Type_Chiropractic,Rndrng_Prvdr_Type_Clinical Cardiac Electrophysiology,Rndrng_Prvdr_Type_Clinical Cardiatric Electrophysiology,Rndrng_Prvdr_Type_Colorectal Surgery (Proctology),Rndrng_Prvdr_Type_Critical Care (Intensivists),Rndrng_Prvdr_Type_Dentist,Rndrng_Prvdr_Type_Dermatology,Rndrng_Prvdr_Type_Diagnostic Radiology,Rndrng_Prvdr_Type_Emergency Medicine,Rndrng_Prvdr_Type_Endocrinology,Rndrng_Prvdr_Type_Family Practice,Rndrng_Prvdr_Type_Gastroenterology,Rndrng_Prvdr_Type_General Practice,Rndrng_Prvdr_Type_General Surgery,Rndrng_Prvdr_Type_Geriatric Medicine,Rndrng_Prvdr_Type_Geriatric Psychiatry,Rndrng_Prvdr_Type_Gynecological Oncology,Rndrng_Prvdr_Type_Hand Surgery,Rndrng_Prvdr_Type_Hematology,Rndrng_Prvdr_Type_Hematology-Oncology,Rndrng_Prvdr_Type_Hematopoietic Cell Transplantation and Cellular Therapy,Rndrng_Prvdr_Type_Hospice and Palliative Care,Rndrng_Prvdr_Type_Hospitalist,Rndrng_Prvdr_Type_Infectious Disease,Rndrng_Prvdr_Type_Internal Medicine,Rndrng_Prvdr_Type_Interventional Cardiology,Rndrng_Prvdr_Type_Interventional Pain Management,Rndrng_Prvdr_Type_Interventional Radiology,Rndrng_Prvdr_Type_Licensed Clinical Social Worker,Rndrng_Prvdr_Type_Maxillofacial Surgery,Rndrng_Prvdr_Type_Medical Oncology,Rndrng_Prvdr_Type_Nephrology,Rndrng_Prvdr_Type_Neurology,Rndrng_Prvdr_Type_Neurosurgery,Rndrng_Prvdr_Type_Nuclear Medicine,Rndrng_Prvdr_Type_Nurse Practitioner,Rndrng_Prvdr_Type_Obstetrics & Gynecology,Rndrng_Prvdr_Type_Occupational Therapist in Private Practice,Rndrng_Prvdr_Type_Ophthalmology,Rndrng_Prvdr_Type_Optometry,Rndrng_Prvdr_Type_Oral Surgery (Dentist only),Rndrng_Prvdr_Type_Oral Surgery (Dentists only),Rndrng_Prvdr_Type_Orthopedic Surgery,Rndrng_Prvdr_Type_Osteopathic Manipulative Medicine,Rndrng_Prvdr_Type_Otolaryngology,Rndrng_Prvdr_Type_Pain Management,Rndrng_Prvdr_Type_Pathology,Rndrng_Prvdr_Type_Pediatric Medicine,Rndrng_Prvdr_Type_Physical Medicine and Rehabilitation,Rndrng_Prvdr_Type_Physical Therapist in Private Practice,Rndrng_Prvdr_Type_Physician Assistant,Rndrng_Prvdr_Type_Plastic and Reconstructive Surgery,Rndrng_Prvdr_Type_Podiatry,Rndrng_Prvdr_Type_Preventive Medicine,Rndrng_Prvdr_Type_Psychiatry,"Rndrng_Prvdr_Type_Psychologist, Clinical",Rndrng_Prvdr_Type_Pulmonary Disease,Rndrng_Prvdr_Type_Radiation Oncology,Rndrng_Prvdr_Type_Registered Dietitian or Nutrition Professional,Rndrng_Prvdr_Type_Rheumatology,Rndrng_Prvdr_Type_Sleep Medicine,Rndrng_Prvdr_Type_Speech Language Pathologist,Rndrng_Prvdr_Type_Sports Medicine,Rndrng_Prvdr_Type_Surgical Oncology,Rndrng_Prvdr_Type_Thoracic Surgery,Rndrng_Prvdr_Type_Undefined Physician type,Rndrng_Prvdr_Type_Urology,Rndrng_Prvdr_Type_Vascular Surgery,Rndrng_Prvdr_State_Abrvtn_AE,Rndrng_Prvdr_State_Abrvtn_AK,Rndrng_Prvdr_State_Abrvtn_AL,Rndrng_Prvdr_State_Abrvtn_AR,Rndrng_Prvdr_State_Abrvtn_AZ,Rndrng_Prvdr_State_Abrvtn_CA,Rndrng_Prvdr_State_Abrvtn_CO,Rndrng_Prvdr_State_Abrvtn_CT,Rndrng_Prvdr_State_Abrvtn_DC,Rndrng_Prvdr_State_Abrvtn_DE,Rndrng_Prvdr_State_Abrvtn_FL,Rndrng_Prvdr_State_Abrvtn_GA,Rndrng_Prvdr_State_Abrvtn_GU,Rndrng_Prvdr_State_Abrvtn_HI,Rndrng_Prvdr_State_Abrvtn_IA,Rndrng_Prvdr_State_Abrvtn_ID,Rndrng_Prvdr_State_Abrvtn_IL,Rndrng_Prvdr_State_Abrvtn_IN,Rndrng_Prvdr_State_Abrvtn_KS,Rndrng_Prvdr_State_Abrvtn_KY,Rndrng_Prvdr_State_Abrvtn_LA,Rndrng_Prvdr_State_Abrvtn_MA,Rndrng_Prvdr_State_Abrvtn_MD,Rndrng_Prvdr_State_Abrvtn_ME,Rndrng_Prvdr_State_Abrvtn_MI,Rndrng_Prvdr_State_Abrvtn_MN,Rndrng_Prvdr_State_Abrvtn_MO,Rndrng_Prvdr_State_Abrvtn_MP,Rndrng_Prvdr_State_Abrvtn_MS,Rndrng_Prvdr_State_Abrvtn_MT,Rndrng_Prvdr_State_Abrvtn_NC,Rndrng_Prvdr_State_Abrvtn_ND,Rndrng_Prvdr_State_Abrvtn_NE,Rndrng_Prvdr_State_Abrvtn_NH,Rndrng_Prvdr_State_Abrvtn_NJ,Rndrng_Prvdr_State_Abrvtn_NM,Rndrng_Prvdr_State_Abrvtn_NV,Rndrng_Prvdr_State_Abrvtn_NY,Rndrng_Prvdr_State_Abrvtn_OH,Rndrng_Prvdr_State_Abrvtn_OK,Rndrng_Prvdr_State_Abrvtn_OR,Rndrng_Prvdr_State_Abrvtn_PA,Rndrng_Prvdr_State_Abrvtn_PR,Rndrng_Prvdr_State_Abrvtn_RI,Rndrng_Prvdr_State_Abrvtn_SC,Rndrng_Prvdr_State_Abrvtn_SD,Rndrng_Prvdr_State_Abrvtn_TN,Rndrng_Prvdr_State_Abrvtn_TX,Rndrng_Prvdr_State_Abrvtn_UT,Rndrng_Prvdr_State_Abrvtn_VA,Rndrng_Prvdr_State_Abrvtn_VI,Rndrng_Prvdr_State_Abrvtn_VT,Rndrng_Prvdr_State_Abrvtn_WA,Rndrng_Prvdr_State_Abrvtn_WI,Rndrng_Prvdr_State_Abrvtn_WV,Rndrng_Prvdr_State_Abrvtn_WY,Rndrng_Prvdr_State_Abrvtn_ZZ
1,23,365.0,78,1331.0,561,1.5929,472857.0,91574.54,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,11.0,74,126.0,39,0.7684,6471.26,4095.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5,82.0,73,37.0,16,3.7436,5532.0,1211.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,14,0.0,69,68.0,30,0.8222,5707.3,3026.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,15,79.0,67,216.0,190,1.5196,149385.0,15786.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,109,264.0,61,16268.0,735,1.7223,2294577.0,364101.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,7,44.0,82,178.0,97,2.1335,31068.0,11186.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,38,145.0,75,1068.0,341,2.0277,139788.0,66246.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,48,46.0,73,333.0,89,1.045,88142.0,31748.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,16,310.0,75,836.0,785,0.9877,226105.0,50923.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,18.0,74,42.0,41,1.1091,6980.02,2343.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
